Name                                      Null?    Type
 ----------------------------------------- -------- ----------------------------
 SUBSCRIBER_ID                             NOT NULL VARCHAR2(25)
 TELEPHONE_NUMBER                          NOT NULL VARCHAR2(20)
 INTERNET_USERNAME                                  VARCHAR2(50)
 MA_EMAIL_ADDRESS                                   VARCHAR2(100)
 MA_USERNAME                                        VARCHAR2(100)
 DOMAIN_ID                                 NOT NULL NUMBER(20)
 COS_ID                                    NOT NULL NUMBER(20)
 GSL_SET_ID                                NOT NULL NUMBER(10)
 BACKUP_STATE                                       NUMBER(1)
 CREATE_TIMESTAMP                                   DATE
 CREATE_ORIGINATOR                                  VARCHAR2(50)
 MODIFY_TIMESTAMP                                   DATE
 LAST_MODIFY_ORIGINATOR                             VARCHAR2(50)
 FULL_NAME                                          VARCHAR2(100)
 ADDITIONAL_ID_NUM_LIMIT                            NUMBER(5)
 ALLOWED_LANG                                       VARCHAR2(200)
 COUNTRY_CODE                                       VARCHAR2(4)
 TUI_PASSWORD                                       VARCHAR2(50)
 BILLING_NUMBER                                     VARCHAR2(50)
 MA_PASSWORD                                        VARCHAR2(100)
 PREFERRED_LANG                                     VARCHAR2(20)
 WEB_SELF_PROV_ENABLED                              NUMBER(1)
 TIMEZONE                                           VARCHAR2(50)
 MAILBOX_BLOCKED                                    NUMBER(1)
 ADDITIONAL_ID_ENABLED                              NUMBER(1)
 INTERNET_PWD                                       VARCHAR2(100)
 ALTERNATE_NOTIF_EMAIL                              VARCHAR2(100)
 VOICE_MESSAGE_ENABLED                              NUMBER(1)
 FAX_MESSAGE_ENABLED                                NUMBER(1)
 ECC_MESSAGE_ENABLED                                NUMBER(1)
 MESSAGING_IN_ENABLED                               NUMBER(1)
 TUI_ACCESS_ENABLED                                 NUMBER(1)
 NOTIF_ENABLED                                      NUMBER(1)
 MAILING_LIST_ENABLED                               NUMBER(1)
 ECC_MESSAGE_ON                                     NUMBER(1)
 MESSAGING_IN_ON                                    NUMBER(1)
 TELEPHONE_NUMBER_TYPE                              VARCHAR2(20)
 VOICE_MESSAGE_SIZE_LIMIT                           NUMBER(5)
 FACSIMILE_TELEPHONE_NUMBER                         VARCHAR2(20)
 FAX_MESSAGE_SIZE_LIMIT                             NUMBER(5)
 MESSAGING_DOMAINS_ALLOWED                          VARCHAR2(100)
 FAX_AUTOTRANSFER_ENABLED                           NUMBER(1)
 FAX_AUTOTRANSFER_ON                                NUMBER(1)
 FAX_AUTOTRANSFER_COPY_OPTIONS                      VARCHAR2(20)
 FAX_AUTOTRANSFER_OPTIONS                           VARCHAR2(50)
 ACCOUNT_TYPE                                       VARCHAR2(20)
 OC_NOTIF_MAIN_RRID                                 VARCHAR2(5)
 OC_NOTIF_MAIN_TRID                                 VARCHAR2(5)
 OC_NOTIF_ALT_RRID                                  VARCHAR2(5)
 OC_NOTIF_ALT_TRID                                  VARCHAR2(5)
 OC_NOTIF_REACH_MAIN_RRID                           VARCHAR2(5)
 OC_NOTIF_REACH_MAIN_TRID                           VARCHAR2(5)
 OC_NOTIF_REACH_ALT_RRID                            VARCHAR2(5)
 OC_NOTIF_REACH_ALT_TRID                            VARCHAR2(5)
 MWI_NOTIF_MAIN_TRID                                VARCHAR2(5)
 MWI_NOTIF_ALT_TRID                                 VARCHAR2(5)
 OC_NOTIF_ADDITIONAL_RRID                           VARCHAR2(5)
 OC_NOTIF_ADDITIONAL_TRID                           VARCHAR2(5)
