Component Name,CI Name
swp-csp-Services-Linux,swp-CSP-Services-Linux
swp_jre64_1.6,swp-Java-JRE-Linux
VI_SiteBook,VI_Sitebook-Linux
ProfileDefinitions_Common,Common-Linux
WHC_Service,WHC_Service_KIT-Linux
NOTIFICATION_TOOLS,Notification_Tools-Linux
WHC_Service_DSU,WHC_Service_KIT-Linux
Add_VAN_to_Balancer_Deployments,WHC_Service_KIT-Linux
WHC_Service_LVU,WHC_Service_KIT-Linux
swp_jre_1.6,swp-Java-JRE-Linux
Balancer,Balancer-IC
NDS_WHC,NDS-WHC-Linux
swp_apache2_2,swp-Apache-Linux
Babysitter-IC,Babysitter-IC-Linux
Compas_IPAddressoffirstOMUunit,CC_Compas_Install-Linux
SmartCall_profile_definition,SMC_Profile_Definition-Linux
CCMAgent,VI_CCM_Agent-Linux
Compas_NDU,CC_Compas_Install-Linux
Compas_OMU,CC_Compas_Install-Linux
SMG,SMG-Linux
Web_UI_Infrastracture,NDU_WEB_Infrastructure-Linux
Infra_WHC,Infra_WHC_mdb-Linux
VAN,VAN-Linux
Config_OSA_Snap_Client_Deployments,WHC_Service_KIT-Linux
NDU_WEB,NDU_WEB-Linux
CC_CSP-Base_Customization,CC_CSP-Base_Customization-Linux
CSP_Base_Linux,swp-CSP-Base-Linux
WHC_Service_SMU,WHC_Service_KIT-Linux
um_utils,UMUtils-IC-Linux
WhoCalled_profile_definition_NDU,WHC_Profile_Definition-Linux
WHC_Service_OMU,WHC_Service_KIT-Linux
WHC_Service_Balancer,WHC_Service_KIT-Linux
WhoCalled_profile_definition_OMU,WHC_Profile_Definition-Linux
swp_tomcat6_0,swp-tomcat-Linux
Config_VxV_Deployments,WHC_Service_KIT-Linux
Linux_AS5_Hkit,LINUXAS5.0_HKIT-Linux
