Octopus Unit Type,GroupName at UnitGroup,Platform / Operation System
CAS,CAS,Linux
PROXY,PROXY,Linux
DSU,DSU_Group,SunOS
SMU,SMU_Group,SunOS
MAU,unknoown,Ignore
WIS,depractaed,Ignore
All,MAMLinux,Linux
ALL,AllLinux,Linux
NDU,NDU-IS3_Group,Linux
DSU_A,DSU_Group,SunOS
DSU_B,DSU_Group,SunOS
VM-ASU,Vm-Asu,Linux
OMU,OMU,Linux
MMSGW,MMSGW,Linux
MTS-U,MTS,Linux
CMS,CMS,Linux
NDU-WHC,NDU-WHC_Group,Linux
TRM,TRM_Group,Linux
TRM_S,TRM_Group,Linux
TRM_P,TRM_Group,Linux
SMU_A,SMU_Group,SunOS
SMU_B,SMU_Group,SunOS
CMD,IS3_CMD_Unit,SunOS
CMD_A,IS3_CMD_Unit,SunOS
CMD_B,IS3_CMD_Unit,SunOS
LVU,LVU_Unit,Linux
MIPS,IS3_CMD_Unit,SunOS
MMG_UNIT,MMSGW,Linux
